30240000	0	0	0	0	0	0	-0.00393986	5.94487e-05	0.00761726	-5.93603e-05	0.00309155	-0.000725704
30244000	0.00619739	-0.00188953	0.0275659	0.021856	0.00254187	0.00215558	0.00880661	0.000169835	0.00477559	-9.41234e-05	-0.00776657	-0.00147514
30248000	0.00638151	-0.00182543	0.0278267	0.0218551	0.00245077	0.00226616	-0.00195216	0.000219618	0.00341024	-8.15259e-05	0.00166458	-0.00311894
30252000	0.00638151	-0.00182543	0.0278267	0.0218551	0.00245077	0.00226616	-2.68937e-05	0.000277198	0.00880249	-0.000121942	0.000748422	-0.00473099
30256000	0.00662519	-0.00176089	0.0280786	0.0218626	0.00256912	0.00240476	0.00201896	0.000349439	0.00176613	-0.000125942	-0.00203132	-0.00631861
30260000	0.00662519	-0.00176089	0.0280786	0.0218626	0.00256912	0.00240476	0.00219008	0.0003137	0.00217103	-8.95993e-05	-0.0192097	-0.00679958
30264000	0.00681461	-0.00169658	0.0281792	0.0218775	-0.0114243	0.00251368	-0.0858782	3.10523e-05	-0.270422	-0.00119221	-0.000566417	-0.00720945
30268000	0.00681461	-0.00169658	0.0281792	0.0218775	-0.0114243	0.00251368	-0.162684	-0.000564899	-0.460159	-0.00304062	0.00806514	-0.00814168
30272000	0.00784363	-0.00161677	0.0283494	0.0217876	-0.0543128	0.00236724	-0.249717	-0.00147146	-0.669864	-0.00568494	0.0165021	-0.00906189
30276000	0.00784363	-0.00161677	0.0283494	0.0217876	-0.0543128	0.00236724	-0.327905	-0.0026558	-0.887444	-0.00899566	0.014366	-0.0100242
30280000	0.0087519	-0.00153039	0.0282811	0.0217073	-0.103864	0.00187815	-0.396432	-0.00410331	-1.07363	-0.0128926	0.0112216	-0.0104507
30284000	0.0087519	-0.00153039	0.0282811	0.0217073	-0.103864	0.00187815	-0.45446	-0.00574811	-1.24184	-0.0173236	0.0237718	-0.0108861
30288000	0.010318	-0.00143602	0.0276197	0.0216327	-0.159471	0.000962404	-0.482843	-0.00749383	-1.31896	-0.0219348	0.0310736	-0.0106238
30292000	0.010318	-0.00143602	0.0276197	0.0216327	-0.159471	0.000962404	-0.534301	-0.00940087	-1.4104	-0.0268705	0.0221062	-0.0104747
30296000	0.013877	-0.00132322	0.0262494	0.0215585	-0.217697	-0.00041249	-0.592947	-0.0115236	-1.50411	-0.0321142	0.00739881	-0.0104677
30300000	0.013877	-0.00132322	0.0262494	0.0215585	-0.217697	-0.00041249	-0.600122	-0.0136619	-1.50638	-0.037244	0.0016399	-0.0113373
30304000	0.0192435	-0.0011761	0.0236441	0.021477	-0.276618	-0.00222339	-0.631809	-0.0159634	-1.48969	-0.0422418	0.015101	-0.0122326
30308000	0.0192435	-0.0011761	0.0236441	0.021477	-0.276618	-0.00222339	-0.626932	-0.0180956	-1.39896	-0.0467838	0.014918	-0.0128107
30312000	0.0262233	-0.000980565	0.0211699	0.0213819	-0.334587	-0.00450776	-0.622056	-0.0200606	-1.30824	-0.0508797	0.0147182	-0.0134511
30316000	0.0262233	-0.000980565	0.0211699	0.0213819	-0.334587	-0.00450776	-0.600149	-0.0220695	-1.12436	-0.0541676	0.028066	-0.0141017
30320000	0.0345113	-0.000725362	0.0173452	0.02127	-0.392084	-0.00725819	-0.581922	-0.0239423	-1.0368	-0.0570789	0.0266991	-0.0139994
30324000	0.0345113	-0.000725362	0.0173452	0.02127	-0.392084	-0.00725819	-0.543222	-0.0255625	-0.859324	-0.0592418	0.0349482	-0.0139268
30328000	0.0436953	-0.000401085	0.0137314	0.0211355	-0.446502	-0.010436	-0.491996	-0.0268907	-0.533089	-0.0601005	0.0390889	-0.0146034
30332000	0.0436953	-0.000401085	0.0137314	0.0211355	-0.446502	-0.010436	-0.433756	-0.027942	-0.318938	-0.0601158	0.0450201	-0.0152839
30336000	0.0532897	-2.84116e-06	0.0101216	0.0209798	-0.499227	-0.0140453	-0.375508	-0.0287215	-0.104791	-0.0593043	0.0510008	-0.0159577
30340000	0.0532897	-2.84116e-06	0.0101216	0.0209798	-0.499227	-0.0140453	-0.312446	-0.0293052	0.0813165	-0.0577678	0.0394221	-0.0164043
30344000	0.0629398	0.000471107	0.00553587	0.0207992	-0.552766	-0.0180835	-0.224988	-0.029614	0.329361	-0.0553292	0.0377012	-0.01686
30348000	0.0629398	0.000471107	0.00553587	0.0207992	-0.552766	-0.0180835	-0.200598	-0.0298345	0.391297	-0.0527471	0.0475168	-0.0167067
30352000	0.0725629	0.0010215	0.000606153	0.0205866	-0.606518	-0.0225458	-0.152169	-0.0297948	0.475504	-0.0498601	0.0467778	-0.0165579
30356000	0.0725629	0.0010215	0.000606153	0.0205866	-0.606518	-0.0225458	-0.103738	-0.0295006	0.559709	-0.0466736	0.0460628	-0.0164038
30360000	0.081513	0.00164454	-0.00385856	0.0203438	-0.660452	-0.0274435	-0.0813209	-0.0291449	0.576303	-0.0435351	0.0409489	-0.0167378
30364000	0.081513	0.00164454	-0.00385856	0.0203438	-0.660452	-0.0274435	-0.0467037	-0.028699	0.565038	-0.0405375	0.0460638	-0.0170289
30368000	0.0904681	0.00233796	-0.0087675	0.0200702	-0.713947	-0.032777	-0.00155909	-0.0281134	0.472509	-0.0380297	0.0606799	-0.0170742
30372000	0.0904681	0.00233796	-0.0087675	0.0200702	-0.713947	-0.032777	0.012842	-0.02747	0.40756	-0.0357704	0.0564221	-0.0171107
30376000	0.0985747	0.00313682	-0.0138056	0.0196558	-0.76654	-0.0384991	0.0434519	-0.0267534	0.23412	-0.0341587	0.0419957	-0.0171759
